participant_id,group,age_round,GI_improve,concentration_post,active_days
165,crosswords,33,15.43654703,5,59
166,crosswords,47,-0.65783608,4,44
167,lumosity,29,24.22065722,4,50
168,lumosity,47,-4.508787938,4,23
169,crosswords,18,-13.58670926,4,7
170,crosswords,20,6.9064885,4,33
171,crosswords,28,11.70386222,4,50
172,crosswords,18,29.96896565,2,0
173,crosswords,54,-10.13103391,2,14
174,crosswords,25,3.633420339,4,24
175,lumosity,58,-2.855221142,5,67
176,lumosity,30,5.045900561,4,54
177,crosswords,38,12.60712686,2,6
178,lumosity,70,12.24960867,NA,61
179,lumosity,29,-2.534583411,4,60
180,lumosity,47,17.63458152,4,57
181,lumosity,29,13.00587562,4,31
182,lumosity,50,5.425319173,3,17
183,lumosity,58,8.006361335,3,68
184,lumosity,21,-0.459903486,4,19
185,crosswords,53,22.94086227,4,59
186,lumosity,49,18.7906198,4,41
187,crosswords,53,-9.148498472,5,62
188,lumosity,52,-16.33016062,4,66
189,lumosity,48,-11.84691201,4,60
190,lumosity,33,-12.81170087,2,41
191,crosswords,41,32.69888473,4,52
192,lumosity,43,8.087282863,2,20
193,crosswords,35,-4.066222558,5,27
194,lumosity,40,-6.427344891,5,63
195,crosswords,63,-6.455826265,4,58
196,lumosity,48,19.71406763,4,61
197,lumosity,33,6.396702164,5,55
198,crosswords,29,4.593934184,3,56
199,lumosity,56,-0.815741133,5,46
200,crosswords,23,-17.39833378,3,55
201,lumosity,19,5.297463644,4,16
202,lumosity,27,18.8163087,4,54
203,lumosity,53,2.935029182,4,62
204,lumosity,42,19.45403428,4,34
205,lumosity,64,0.643117447,5,49
206,lumosity,22,11.7939439,5,36
207,lumosity,42,11.23400391,4,55
208,crosswords,32,-0.61235931,3,35
209,lumosity,19,-10.13848251,4,26
210,crosswords,30,5.697615334,2,36
211,crosswords,63,-3.625481146,4,51
212,lumosity,24,-5.030386986,2,18
213,crosswords,24,-5.869286116,4,60
214,crosswords,43,10.18173665,4,32
215,lumosity,43,13.90822394,5,40
216,lumosity,72,8.250188247,5,44
217,crosswords,33,8.200298466,5,8
218,crosswords,27,-7.528465222,4,8
219,lumosity,29,-57.60960432,4,53
220,lumosity,28,-4.965199456,5,59
221,crosswords,32,-15.21582353,4,4
222,crosswords,48,8.503961504,5,29
223,lumosity,21,-8.113790291,4,9
224,lumosity,21,-7.246613571,5,12
225,crosswords,51,6.339790736,5,0
226,lumosity,42,22.25378873,4,52
227,crosswords,53,15.3278453,5,60
228,lumosity,31,11.3569259,2,39
229,crosswords,22,-10.07841864,5,35
230,crosswords,23,8.878744995,3,7
231,lumosity,40,-2.270420027,4,59
232,lumosity,50,10.7779678,5,44
233,lumosity,45,4.302686274,5,32
234,lumosity,26,2.902980748,1,59
235,crosswords,61,17.4906248,4,16
236,crosswords,43,5.021196768,2,6
237,lumosity,32,1.960105684,4,51
238,crosswords,63,7.767375314,4,60
239,lumosity,58,13.63085398,4,41
240,crosswords,41,5.911213122,3,62
241,crosswords,29,0.563487873,2,39
242,crosswords,18,9.667394351,4,5
243,lumosity,73,9.420981603,4,67
244,crosswords,22,3.219126745,4,62
245,crosswords,31,3.699852029,5,39
246,crosswords,48,-3.443328483,4,49
247,lumosity,65,3.270256713,4,12
248,crosswords,61,3.827214614,4,68
249,crosswords,43,19.72756758,4,57
250,crosswords,47,-6.756724458,2,57
251,lumosity,50,4.877951707,5,46
252,lumosity,20,15.02188198,5,17
253,lumosity,59,-0.719811665,5,64
254,crosswords,63,17.66420876,5,53
255,lumosity,30,-5.134839328,4,62
256,crosswords,27,-16.95166746,2,0
257,lumosity,39,7.350130872,4,58
258,lumosity,28,9.492901068,4,64
259,crosswords,48,-0.086854559,2,53
260,crosswords,32,-13.19910271,4,59
261,crosswords,37,6.834348542,4,54
262,lumosity,25,35.62424507,4,28
263,crosswords,32,0.204801509,4,47
264,crosswords,57,20.94209478,4,2
265,lumosity,31,10.14551094,4,20
266,lumosity,23,15.49696648,4,46
267,lumosity,22,16.24102769,3,43
268,lumosity,37,12.7144972,2,4
269,crosswords,45,-15.85378769,2,3
270,crosswords,58,3.118272232,5,63
271,crosswords,24,-4.91517381,4,47
272,lumosity,25,3.451130956,5,68
273,lumosity,26,11.1455159,2,3
274,lumosity,21,12.52129818,3,51
275,lumosity,29,-15.25227604,3,37
276,lumosity,24,7.917588272,4,64
277,lumosity,41,12.08294919,4,42
278,crosswords,25,-16.26197337,2,55
279,crosswords,21,-15.28219616,2,13
280,lumosity,19,-1.865284482,5,8
281,crosswords,23,-22.22019975,4,31
282,lumosity,28,15.33328593,5,51
283,lumosity,27,-1.50233023,5,59
284,lumosity,25,8.473307746,4,55
285,crosswords,26,1.931197049,4,51
286,lumosity,25,12.22284424,5,45
287,lumosity,26,0.126719565,4,22
288,lumosity,43,7.057268536,4,38
289,lumosity,29,-4.317935754,5,20
290,lumosity,32,-5.417910367,3,40
291,lumosity,67,-6.656802328,4,51
292,crosswords,26,9.764248125,5,64
293,crosswords,43,2.825574223,4,59
294,crosswords,33,5.608802498,4,59
295,lumosity,61,-20.40954457,3,9
296,lumosity,30,7.433499535,5,60
297,crosswords,60,-0.545731449,4,46
298,crosswords,22,-12.91980558,3,20
299,lumosity,32,34.87528192,5,47
300,lumosity,32,10.07987864,4,56
301,crosswords,36,-5.967706295,4,12
302,crosswords,34,-0.555272722,4,49
303,crosswords,43,5.211585141,4,40
304,crosswords,60,2.236362153,2,55
305,crosswords,31,17.26260664,5,36
306,lumosity,54,15.64111063,4,42
307,lumosity,67,2.595012458,4,66
308,crosswords,27,3.976291363,4,11
309,crosswords,44,10.08396888,4,28
310,crosswords,28,-17.69776352,5,1
311,crosswords,64,0.829179961,3,56
312,crosswords,42,16.14066156,4,42
313,lumosity,34,8.142014383,4,59
314,crosswords,49,-17.27364589,4,61
315,lumosity,27,-6.420135036,4,45
316,crosswords,45,-29.45835309,5,27
317,lumosity,43,-14.2923282,4,38
318,crosswords,34,-0.507553822,3,58
319,crosswords,39,-1.754645665,4,11
320,lumosity,67,-17.47813494,4,63
321,lumosity,26,-6.181047355,5,46
322,crosswords,24,18.49709405,3,33
323,crosswords,42,6.281533315,4,62
324,lumosity,32,25.66684523,5,42
325,lumosity,63,-0.702058094,4,48
326,lumosity,21,0.709427169,3,31
327,crosswords,60,15.45433195,5,57
328,crosswords,38,6.678569451,4,53
329,crosswords,35,6.113955933,4,65
330,crosswords,29,2.266678058,NA,9
331,crosswords,30,-2.709671876,5,54
332,lumosity,24,9.901278983,5,47
333,crosswords,29,3.87621587,3,32
334,lumosity,58,18.0398027,2,59
335,lumosity,58,14.99669893,4,63
336,lumosity,30,-10.49799245,4,43
337,crosswords,28,8.846872358,NA,3
338,lumosity,20,-10.78917546,4,32
339,lumosity,47,18.82753401,2,23
340,lumosity,32,3.706969989,4,35
341,lumosity,31,-3.438129425,5,63
342,crosswords,44,15.68180103,4,42
343,lumosity,19,14.50823217,5,44
344,lumosity,29,12.18482175,4,43
345,lumosity,25,-7.648534776,5,44
346,lumosity,18,-0.227974091,4,65
347,lumosity,53,-9.401790606,5,55
348,lumosity,36,9.851158858,4,64
349,crosswords,52,5.606492955,4,5
350,lumosity,25,11.14414541,2,19
351,crosswords,33,5.636944149,4,60
352,lumosity,68,25.14616362,4,62
353,crosswords,27,-8.075655067,4,49
354,lumosity,19,3.020221082,2,5
355,lumosity,57,1.320379346,3,45
356,crosswords,37,-18.70220008,3,67
357,crosswords,52,-3.422617182,4,67
358,crosswords,63,-13.10151337,4,69
359,lumosity,52,-11.32178795,4,53
360,crosswords,34,9.3497286,4,58
361,lumosity,30,-6.071375557,4,46
362,crosswords,21,-7.025828289,2,59
363,crosswords,54,-15.45421799,NA,27
364,crosswords,25,3.811854796,4,24
365,crosswords,44,27.2087132,3,38
366,lumosity,48,5.299607414,3,59
367,lumosity,29,13.00779349,2,43
368,lumosity,58,6.619189591,4,14
369,crosswords,22,0.419826491,3,47
370,lumosity,27,3.647384383,3,12
371,lumosity,66,-6.437326878,3,60
372,crosswords,27,-2.529206227,3,57
373,lumosity,18,-1.668672382,4,36
374,crosswords,54,-5.418564063,4,56
375,lumosity,42,-22.27645495,4,69
376,crosswords,48,-10.74149274,4,50
377,lumosity,54,4.070000566,4,55
378,crosswords,21,16.81212211,4,56
379,lumosity,68,8.850930271,3,38
380,lumosity,18,16.72364638,3,18
381,crosswords,50,13.40815694,2,40
382,crosswords,51,0.252424358,5,61
383,crosswords,44,-10.43870102,4,67
384,lumosity,28,13.86011402,4,44
385,lumosity,31,-12.68774725,4,45
386,lumosity,68,1.910776542,4,7
387,crosswords,28,-0.154872935,4,54
388,crosswords,69,3.292019328,4,42
389,lumosity,32,26.34967726,3,44
390,lumosity,29,14.9097525,4,25
391,lumosity,34,10.90657244,4,62
392,crosswords,20,-3.103260065,4,49
393,crosswords,40,5.138540451,2,41
394,crosswords,40,15.5618583,4,66
395,crosswords,26,-10.14676857,2,54
396,lumosity,38,9.164567557,3,62
397,crosswords,40,15.98142401,4,64
398,lumosity,48,0.574110895,4,51
399,lumosity,58,3.946639865,5,42
400,lumosity,66,-0.121754524,4,49
401,crosswords,32,-10.07482125,2,50
402,lumosity,70,0.178674405,4,33
403,crosswords,45,-22.44016464,4,54
404,lumosity,58,19.61958,4,57
405,crosswords,66,-7.060713097,3,39
406,crosswords,26,-8.258162493,2,56
407,crosswords,33,3.383902676,4,52
408,crosswords,44,2.363530455,5,42
409,crosswords,24,3.166399204,4,50
410,lumosity,36,-20.12232127,4,34
411,crosswords,31,-1.115922041,4,22
412,lumosity,19,12.11291231,4,19
413,lumosity,36,15.71162784,3,68
414,crosswords,47,9.493313055,5,65
415,crosswords,29,3.624460045,4,61
416,lumosity,39,9.483506914,4,21
417,lumosity,71,21.38864412,4,66
418,lumosity,23,10.47848362,4,48
419,crosswords,25,8.905209658,3,53
420,crosswords,22,10.60221876,5,43
421,crosswords,70,-10.79671297,3,67
422,lumosity,57,-4.511080545,3,51
423,lumosity,53,-15.73651005,5,52
424,crosswords,41,4.003815384,2,50
425,lumosity,23,-2.140434048,4,14
426,lumosity,48,14.66516118,4,42
427,lumosity,24,-25.20406473,3,19
428,crosswords,50,32.40934842,4,35
429,crosswords,19,3.781798501,NA,4
430,crosswords,19,16.67099225,3,1
431,lumosity,60,-30.46132674,4,30
432,crosswords,25,-5.487016611,5,51
433,lumosity,54,10.49428022,4,43
434,lumosity,61,7.112693188,4,69
435,crosswords,35,6.044473431,4,70
436,crosswords,31,-8.402416675,4,3
437,lumosity,25,8.453704329,4,30
438,crosswords,55,23.04235895,4,45
439,lumosity,31,8.360793494,5,53
440,lumosity,28,10.93903694,5,56
441,lumosity,55,24.66509772,5,56
442,lumosity,25,6.349116002,4,50
443,lumosity,53,15.44891138,2,36
444,crosswords,22,11.26335833,2,19
445,crosswords,62,11.63207265,3,68
446,crosswords,57,6.335492535,4,69
447,crosswords,23,16.88042728,4,31
448,crosswords,56,16.95436811,4,58
449,lumosity,49,-9.254976863,4,41
450,lumosity,40,-8.820984448,5,66
451,lumosity,47,5.512185548,4,59
452,crosswords,18,-1.530423352,4,6
453,crosswords,18,1.636920617,2,12
454,crosswords,29,13.09692215,3,48
455,crosswords,27,4.860071628,3,31
456,crosswords,59,22.54977687,4,25
457,crosswords,30,-2.596599954,4,56
458,crosswords,40,8.982175638,4,58
459,crosswords,51,17.39782191,3,65
460,crosswords,44,5.756731124,4,69
461,lumosity,61,-0.945945621,3,14
462,lumosity,28,34.38011416,4,57
463,crosswords,25,-1.41612922,4,25
464,lumosity,20,-8.259731321,4,54
465,crosswords,21,0.361892613,4,13
466,lumosity,23,9.702904708,4,26
467,lumosity,24,-12.8121528,4,36
468,lumosity,57,-20.27814998,5,38
469,crosswords,45,-7.093031771,3,2
470,lumosity,24,1.837632676,4,59
471,crosswords,56,-0.900466387,3,69
472,lumosity,65,0.994687254,3,45
473,crosswords,26,0.778838144,4,65
474,crosswords,73,-14.06851115,4,63
475,lumosity,30,1.444404901,5,59
476,lumosity,66,4.922107692,4,65
477,crosswords,36,7.41056961,4,1
478,lumosity,22,-2.366169622,4,49
479,crosswords,46,-0.065461724,2,62
480,crosswords,39,-4.920895971,4,56
481,lumosity,24,-3.71675756,5,47
482,lumosity,50,11.94955541,2,55
483,crosswords,34,3.047854436,4,65
484,crosswords,39,-0.517787238,4,56
485,lumosity,22,7.186074874,4,52
486,lumosity,29,-6.808496446,3,45
487,lumosity,20,14.22948955,5,15
488,lumosity,70,23.41492399,4,68
489,lumosity,34,0.986783694,5,49
490,lumosity,41,-4.857844769,4,55
491,crosswords,29,2.370290087,3,12
492,lumosity,62,27.19093007,2,38
493,lumosity,42,17.94652083,4,12
494,lumosity,21,-0.224059246,3,48
495,crosswords,22,-4.212996099,4,45
496,lumosity,25,8.864034527,3,11
497,crosswords,18,-10.8122668,5,31
498,crosswords,34,-9.793244605,4,10
499,crosswords,35,4.030402011,3,23
500,lumosity,46,8.521685823,4,48
501,lumosity,31,2.715330412,4,59
502,lumosity,36,26.27929662,4,55
503,crosswords,32,6.633405651,4,65
504,crosswords,30,13.49562843,4,31
505,lumosity,63,-5.683545648,4,37
506,crosswords,67,16.67515442,5,40
507,lumosity,35,-6.971734394,4,45
508,lumosity,29,11.94768395,3,26
509,crosswords,23,25.9413782,3,36
510,crosswords,50,6.929277556,4,48
511,lumosity,57,-5.87112452,4,37
512,crosswords,51,9.691366608,5,59
513,crosswords,45,-9.878236447,3,51
514,lumosity,58,9.322696511,5,60
515,lumosity,57,5.483069425,4,34
516,lumosity,33,24.19679862,4,65
517,lumosity,59,4.788684073,5,69
518,lumosity,28,-2.346343518,3,24
519,lumosity,26,13.49753931,4,34
520,lumosity,29,23.29860102,4,66
521,crosswords,23,7.841333684,3,40
522,crosswords,32,9.083327787,4,21
523,lumosity,19,9.037409343,2,4
524,lumosity,44,25.83529644,4,65
525,lumosity,58,7.980008152,3,63
526,lumosity,50,6.341185609,4,62
527,lumosity,46,-7.043794101,4,49
528,lumosity,20,8.524541746,4,51
529,lumosity,20,7.641992492,4,9
530,crosswords,56,-2.687897545,1,54
531,crosswords,22,5.018882126,2,12
532,crosswords,64,-5.281000019,4,58
533,lumosity,22,-2.090260529,4,39
534,lumosity,23,9.404982881,4,44
535,lumosity,56,-0.322715754,4,51
536,crosswords,58,10.19265881,4,63
537,crosswords,34,-6.05826069,5,47
538,crosswords,52,-11.12112992,3,64
539,lumosity,31,16.8756512,5,55
540,crosswords,62,-11.92195462,4,70
541,lumosity,35,13.7205256,2,19
542,lumosity,35,-3.122659289,4,32
543,lumosity,24,-6.040460439,3,42
544,lumosity,29,4.131214727,4,47
545,lumosity,28,-11.15373956,2,52
546,lumosity,45,-11.35869448,5,53
547,crosswords,71,3.36652262,4,58
548,crosswords,20,4.810007543,4,2
549,crosswords,57,-12.56777886,4,70
550,crosswords,23,2.065917513,4,14
551,lumosity,18,-3.116118927,4,44
552,lumosity,53,9.065107332,5,61
553,crosswords,27,3.61534332,3,9
554,lumosity,31,3.92878638,4,46
555,lumosity,61,22.62288048,4,65
556,crosswords,32,-2.141057635,5,39
557,lumosity,21,-7.592953696,4,48
558,lumosity,46,-5.697289242,4,55
559,crosswords,30,-11.94278233,5,54
560,lumosity,27,5.618822105,3,19
561,lumosity,22,9.984620072,5,51
562,crosswords,30,8.511605932,2,35
563,lumosity,25,-1.333883455,5,55
564,lumosity,27,3.035191901,3,62
565,crosswords,20,9.68150952,NA,5
566,lumosity,24,5.848870696,4,11
567,crosswords,36,27.19414876,4,47
568,lumosity,67,11.4801325,2,48
569,lumosity,55,0.407586592,4,44
570,lumosity,22,-11.15986164,4,52
571,crosswords,53,-12.28077667,3,50
572,lumosity,56,15.94170596,3,67
573,lumosity,29,8.919324824,5,55
574,crosswords,44,16.46111467,5,54
575,crosswords,24,7.801289769,4,50
576,crosswords,69,-4.445886906,2,60
577,lumosity,31,3.079303918,4,49
578,crosswords,18,-2.177072352,2,65
579,lumosity,22,-25.16986946,4,26
580,lumosity,56,9.534352658,4,51
581,lumosity,39,-8.270706842,5,52
582,lumosity,27,-2.597443774,3,67
583,crosswords,38,8.529389812,4,54
584,crosswords,31,-2.922007229,4,63
585,crosswords,38,9.550050074,4,66
586,lumosity,29,8.759254874,4,45
587,lumosity,63,13.07270643,4,55
588,lumosity,35,3.637358227,4,61
589,crosswords,80,8.996379733,2,51
590,crosswords,20,21.15581407,2,34
591,crosswords,23,-1.292742103,4,50
592,crosswords,19,-1.393463902,4,62
593,lumosity,64,-23.33305699,3,7
594,crosswords,33,2.785892892,4,64
595,crosswords,58,-5.566381961,4,62
596,crosswords,48,-1.811598797,4,59
597,crosswords,69,-6.54089473,5,60
598,crosswords,48,2.953036618,4,60
599,crosswords,39,12.74455238,4,51
600,crosswords,38,17.9406089,2,58
601,lumosity,43,-15.20669562,4,54
602,lumosity,49,5.018289495,2,51
603,crosswords,37,4.27507578,4,66
604,crosswords,58,12.55588709,5,54
605,crosswords,42,10.23718555,4,67
606,crosswords,25,14.75271663,3,37
607,lumosity,69,-0.138426605,4,60
608,lumosity,57,7.076172159,5,60
609,lumosity,54,8.349711524,3,38
610,lumosity,18,16.30849786,4,56
611,lumosity,53,0.101057846,4,58
612,lumosity,61,15.34278122,3,68
613,crosswords,29,-7.437656139,5,67
614,lumosity,29,1.551493654,3,62
615,lumosity,25,11.12033744,3,55
616,lumosity,45,-0.505314242,5,55
617,crosswords,27,-1.273341243,4,47
618,lumosity,28,2.620876981,3,43
619,lumosity,21,-0.229680798,2,11
620,crosswords,29,17.70138393,4,58
621,crosswords,57,13.72134692,5,51
622,crosswords,22,11.09663022,5,68
623,lumosity,40,-12.69421343,4,63
624,lumosity,36,-18.84027009,4,29
625,lumosity,23,17.34236054,3,13
626,crosswords,49,4.642888517,4,20
627,lumosity,23,8.479062773,4,28
628,crosswords,60,11.02083767,4,53
629,lumosity,55,5.976743486,4,50
630,lumosity,25,11.97084526,4,57
631,crosswords,63,-1.715846492,4,68
632,crosswords,38,0.848338824,4,66
633,crosswords,79,10.7369656,3,68
634,crosswords,63,19.6829451,4,67
